ModeBeforeSwitch,ModeAfterSwitch,ShutdownTypeAtSwitch,ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,Operational,,EraseFailure,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,EraseFailure,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
SD,Operational,,EraseFailure,HostSLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,Operational,,EraseFailure,HostTLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
